,Values
NAV,"13,742.27"
Open Price,"13,720.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"13,978.0 / 14,445.5"
Day Range,"13,660.00 – 13,720.00"
Year Range,"10,910.00 – 14,050.00"
SEC Yield ,—
12-Month Yield ,3.24%
Premium ,—
Expense Ratio,0.300%
Total Assets,39.9 Bil
