,Fund,Cat. Average,Index
Price/Earnings ,36.78,26.02,17.90
Price/Book ,2.30,1.59,1.36
Price/Sales ,5.52,5.46,3.14
Price/Cash Flow ,7.65,8.16,7.06
Dividend Yield % ,4.12,3.98,4.22
Long-Term Earnings % ,4.89,5.02,7.62
Historical Earnings % ,10.29,9.84,5.60
Sales Growth % ,2.16,2.58,7.90
Cash-Flow Growth % ,12.08,13.04,8.61
Book-Value Growth % ,1.48,1.48,5.56
