,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,5.95,4.16,-8.35,-3.69,6.66,20.12,-10.07,-13.82
Fund (NAV),—,—,—,6.17,3.97,-8.20,-3.39,6.45,20.34,-10.06,-12.70
+/ Category (NAV),—,—,—,-0.81,2.86,-3.12,-7.40,5.76,-2.13,6.61,-7.83
+/- Index (Price),—,—,—,-8.38,1.64,-1.20,-0.87,-7.16,-12.11,7.57,-14.32
Percentile Rank,—,—,—,58,20,71,88,25,69,7,97
# of Funds in Category,—,—,"1,539","1,737","1,779","1,796","2,103","2,012","2,058","2,015","2,284"
