,Fund,Cat. Average,Index
Price/Earnings ,9.87,11.02,12.13
Price/Book ,0.69,0.84,0.86
Price/Sales ,0.40,0.53,0.65
Price/Cash Flow ,3.71,3.46,3.66
Dividend Yield % ,2.76,3.08,3.48
Long-Term Earnings % ,11.40,10.07,3.69
Historical Earnings % ,4.72,15.26,14.88
Sales Growth % ,0.97,11.25,4.89
Cash-Flow Growth % ,-6.82,16.83,15.05
Book-Value Growth % ,3.56,10.86,8.56
