Sectors,Fund %,Category %
Basic Materials,10.56,8.70
Consumer Cyclical,7.35,13.65
Financial Services,22.01,11.56
Real Estate,0.00,0.29
Communication Services,6.43,2.34
Energy,4.19,1.96
Industrials,23.76,10.46
Technology,15.65,38.20
Consumer Defensive,6.33,6.64
Healthcare,0.00,4.97
Utilities,3.70,1.23
