,Values
NAV,"8,906.44"
Open Price,"8,840.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,218.0 / 105.7
Day Range,"8,840.00 – 8,870.00"
Year Range,"8,840.00 – 11,525.00"
SEC Yield ,—
12-Month Yield ,1.68%
Premium ,—
Expense Ratio,0.510%
Total Assets,5.3 Bil
