,Fund,Category,Index
U.S.Stock,78.85,41.01,69.52
Non-U.S.Stock,21.15,46.12,30.48
Bonds,0.00,0.01,0.00
Other,0.00,0.52,0.00
Cash,0.00,32.42,0.00
Not Classified,0.00,0.04,0.00
