,Values
NAV,"12,766.25"
Open Price,"13,015.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"486.0 / 4,038.1"
Day Range,"12,780.00 – 13,015.00"
Year Range,"9,715.00 – 13,445.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.720%
Total Assets,7.0 Bil
