,Fund,Cat. Average,Index
Price/Earnings ,20.25,17.17,20.64
Price/Book ,4.66,2.04,3.84
Price/Sales ,3.09,1.37,2.36
Price/Cash Flow ,12.05,7.78,11.93
Dividend Yield % ,1.72,1.69,1.48
Long-Term Earnings % ,9.15,8.11,10.45
Historical Earnings % ,17.31,12.12,18.19
Sales Growth % ,8.82,7.65,8.61
Cash-Flow Growth % ,18.32,13.49,16.51
Book-Value Growth % ,6.01,7.62,8.68
