,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.16,0.00
Non-U.S.Stock,101.00,0.28,101.28,95.78,99.99
Bonds,0.13,0.00,0.13,0.20,0.00
Other,0.01,0.00,0.01,0.80,0.00
Cash,-1.14,7.70,6.55,3.21,0.00
Not Classified,0.00,0.00,0.00,1.64,0.01
