,Values
NAV,"9,188.54"
Open Price,"9,125.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"3,822.0 / 10,241.7"
Day Range,"9,120.00 – 9,155.00"
Year Range,"9,050.00 – 10,205.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.420%
Total Assets,11.0 Bil
