Sectors,Fund %,Category %
Basic Materials,7.61,8.70
Consumer Cyclical,10.33,13.65
Financial Services,11.51,11.56
Real Estate,0.00,0.29
Communication Services,2.77,2.34
Energy,1.87,1.96
Industrials,9.25,10.46
Technology,44.07,38.20
Consumer Defensive,6.36,6.64
Healthcare,4.94,4.97
Utilities,1.29,1.23
