,Values
NAV,"6,590.64"
Open Price,"6,515.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"927.0 / 3,490.5"
Day Range,"6,515.00 – 6,560.00"
Year Range,"6,515.00 – 7,790.00"
SEC Yield ,—
12-Month Yield ,1.80%
Premium ,—
Expense Ratio,0.180%
Total Assets,25.7 Bil
