,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),0.00,2.70,-9.53,-12.09,-10.66,-17.23,—,—,—,—,—
Total Return % (NAV),0.06,1.86,-9.99,-13.71,-10.75,-17.17,—,—,—,—,-16.34
+/- Category (NAV),-0.01,-0.04,-0.32,-0.18,-1.33,2.36,—,—,—,—,—
+/- Index (NAV),0.12,0.96,0.50,2.17,4.30,2.64,—,—,—,—,—
