,Values
NAV,"7,612.10"
Open Price,"7,570.00"
Bid / Ask / Spread,"7,570.00 / 7,605.00 / 0.46%"
Volume / Avg,"584.0 / 87,511.6"
Day Range,"7,570.00 – 7,595.00"
Year Range,"7,310.00 – 9,695.00"
SEC Yield ,—
12-Month Yield ,1.76%
Premium ,—
Expense Ratio,0.360%
Total Assets,11.8 Bil
