,Fund,Cat. Average,Index
Price/Earnings ,9.14,10.08,10.07
Price/Book ,0.99,1.04,0.93
Price/Sales ,0.36,0.61,0.40
Price/Cash Flow ,4.24,4.44,2.91
Dividend Yield % ,1.87,1.71,2.01
Long-Term Earnings % ,23.23,9.55,10.86
Historical Earnings % ,2.24,2.73,0.53
Sales Growth % ,-4.52,-1.44,-3.08
Cash-Flow Growth % ,-16.85,-10.31,-9.25
Book-Value Growth % ,-1.14,6.21,2.39
