Sectors,Fund %,Category %
Basic Materials,5.34,6.42
Consumer Cyclical,12.42,10.04
Financial Services,0.61,14.39
Real Estate,0.00,0.89
Communication Services,0.26,2.37
Energy,0.32,1.90
Industrials,7.85,8.43
Technology,25.41,33.92
Consumer Defensive,4.07,6.36
Healthcare,43.59,14.24
Utilities,0.14,1.05
