,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.03,—
Non-U.S.Stock,197.23,0.00,197.23,620.20,—
Bonds,7.45,0.00,7.45,8.78,—
Other,0.00,0.00,0.00,3.73,—
Cash,-104.68,110.32,5.64,156.79,—
Not Classified,0.00,0.00,0.00,0.10,—
