,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-2.41,7.28,-31.23,-44.78,-50.34,-57.28,-17.36,—,—,—,—
Total Return % (NAV),0.31,7.17,-29.19,-46.16,-48.89,-59.25,-16.56,—,—,—,-11.25
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
