,Values
NAV,"6,535.19"
Open Price,"6,500.00"
Bid / Ask / Spread,"6,490.00 / 6,495.00 / 0.08%"
Volume / Avg,"410,384.0 / 860,578.2"
Day Range,"6,420.00 – 6,535.00"
Year Range,"5,600.00 – 19,740.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.350%
Total Assets,85.0 Bil
