,Values
NAV,"10,948.72"
Open Price,"10,990.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"3,504.0 / 5,206.9"
Day Range,"10,770.00 – 10,990.00"
Year Range,"10,540.00 – 13,000.00"
SEC Yield ,—
12-Month Yield ,1.96%
Premium ,—
Expense Ratio,0.190%
Total Assets,24.1 Bil
