,Fund,Cat. Average,Index
Price/Earnings ,6.80,11.02,12.13
Price/Book ,0.89,0.84,0.86
Price/Sales ,0.47,0.53,0.65
Price/Cash Flow ,5.97,3.46,3.66
Dividend Yield % ,2.46,3.08,3.48
Long-Term Earnings % ,12.66,10.07,3.69
Historical Earnings % ,4.89,15.26,14.88
Sales Growth % ,5.63,11.25,4.89
Cash-Flow Growth % ,-9.88,16.83,15.05
Book-Value Growth % ,6.08,10.86,8.56
