,Values
NAV,"27,473.68"
Open Price,"27,645.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,20.0 / 30.5
Day Range,"27,510.00 – 27,645.00"
Year Range,"26,945.00 – 32,865.00"
SEC Yield ,—
12-Month Yield ,2.95%
Premium ,—
Expense Ratio,0.320%
Total Assets,5.5 Bil
