,Values
NAV,"20,750.47"
Open Price,"20,845.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"3,089.0 / 3,068.7"
Day Range,"20,495.00 – 20,845.00"
Year Range,"18,005.00 – 22,550.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.470%
Total Assets,41.5 Bil
