Sectors,Fund %,Category %
Basic Materials,2.78,4.14
Consumer Cyclical,3.32,17.57
Financial Services,50.91,24.64
Real Estate,2.58,4.51
Communication Services,11.55,1.04
Energy,9.65,1.90
Industrials,3.29,9.90
Technology,10.65,15.66
Consumer Defensive,0.95,12.57
Healthcare,1.92,6.89
Utilities,2.40,1.19
