,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),47.28,-1.21,-18.36,11.05,-3.74,15.68,-8.46,1.61,14.41,-7.88,10.02
Fund (NAV),49.81,-1.65,-18.09,9.71,-3.96,18.33,-10.03,2.66,14.27,-8.49,9.85
+/ Category (NAV),-6.83,-4.25,3.28,-2.32,-6.88,-2.64,-12.99,11.90,-17.19,13.13,-7.36
+/- Index (Price),-19.44,-4.50,4.54,-10.61,-6.32,6.58,-6.17,-7.83,-20.97,2.94,4.10
Percentile Rank,64,79,25,63,72,49,90,6,89,3,74
# of Funds in Category,125,177,247,347,391,422,526,636,734,890,923
