,Values
NAV,"7,976.59"
Open Price,"7,955.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"11,485.0 / 2,366.0"
Day Range,"7,880.00 – 7,965.00"
Year Range,"7,675.00 – 11,670.00"
SEC Yield ,—
12-Month Yield ,1.01%
Premium ,—
Expense Ratio,0.260%
Total Assets,2.1 Bil
