,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-0.31,2.51,-13.24,-8.97,-20.58,-14.22,—,—,—,—,—
Total Return % (NAV),-0.31,2.45,-13.24,-8.98,-20.60,-14.54,—,—,—,—,-9.24
+/- Category (NAV),-0.04,-0.44,-5.73,0.30,-17.17,-0.15,—,—,—,—,—
+/- Index (NAV),-0.63,3.08,-7.28,-4.51,-21.26,-4.14,—,—,—,—,—
