,Values
NAV,"9,570.51"
Open Price,"9,515.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"960.0 / 2,314.3"
Day Range,"9,500.00 – 9,580.00"
Year Range,"8,240.00 – 9,730.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.650%
Total Assets,5.7 Bil
