,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,4.81,—
Non-U.S.Stock,-99.98,99.98,0.00,5.39,—
Bonds,7.73,0.00,7.73,12.48,—
Other,0.03,0.00,0.03,19.44,—
Cash,192.21,1.34,193.55,78.62,—
Not Classified,0.00,0.00,0.00,0.77,—
