,Values
NAV,"6,547.32"
Open Price,"6,625.00"
Bid / Ask / Spread,"6,630.00 / 6,670.00 / 0.60%"
Volume / Avg,"35,696.0 / 36,133.0"
Day Range,"6,585.00 – 6,735.00"
Year Range,"6,405.00 – 9,285.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.760%
Total Assets,31.4 Bil
