,Fund,Cat. Average,Index
Price/Earnings ,9.18,11.87,—
Price/Book ,1.16,1.05,—
Price/Sales ,1.22,0.73,—
Price/Cash Flow ,3.21,3.83,—
Dividend Yield % ,4.03,2.61,—
Long-Term Earnings % ,7.85,7.31,—
Historical Earnings % ,6.44,8.40,—
Sales Growth % ,7.03,8.94,—
Cash-Flow Growth % ,5.76,7.00,—
Book-Value Growth % ,6.73,9.61,—
