,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.03,—
Non-U.S.Stock,133.48,0.00,133.48,620.20,—
Bonds,0.00,0.00,0.00,8.78,—
Other,33.19,0.00,33.19,3.73,—
Cash,-66.67,181.38,114.71,156.79,—
Not Classified,0.00,0.00,0.00,0.10,—
