,Values
NAV,"4,498.07"
Open Price,"4,470.00"
Bid / Ask / Spread,"4,475.00 / 4,680.00 / 4.48%"
Volume / Avg,"8,658.0 / 19,888.7"
Day Range,"4,465.00 – 4,485.00"
Year Range,"4,360.00 – 5,180.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.760%
Total Assets,36.4 Bil
