,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,0.00,—
Non-U.S.Stock,0.00,0.00,0.00,0.68,—
Bonds,14.92,0.00,14.92,41.45,—
Other,102.57,0.00,102.57,73.73,—
Cash,-17.49,125.04,107.55,156.77,—
Not Classified,0.00,0.00,0.00,0.09,—
