,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),-1.10,-4.79,-8.30,-0.56,-8.86,-12.85,-10.82,-10.20,—,—,—
Total Return % (NAV),-0.46,-2.41,-8.53,2.16,-7.83,-10.51,-10.07,-9.97,—,—,-8.88
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
