,Values
NAV,"8,815.22"
Open Price,"8,755.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"20.0 / 2,150.3"
Day Range,"8,735.00 – 8,755.00"
Year Range,"8,550.00 – 10,175.00"
SEC Yield ,—
12-Month Yield ,—
Premium ,—
Expense Ratio,0.260%
Total Assets,7.1 Bil
