,Values
NAV,"7,486.27"
Open Price,"7,520.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"1,009.0 / 1,150.4"
Day Range,"7,490.00 – 7,520.00"
Year Range,"7,435.00 – 11,215.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.760%
Total Assets,5.2 Bil
