,Fund,Cat. Average,Index
Price/Earnings ,—,13.16,—
Price/Book ,—,1.37,—
Price/Sales ,—,0.99,—
Price/Cash Flow ,—,5.55,—
Dividend Yield % ,—,2.80,—
Long-Term Earnings % ,—,9.59,—
Historical Earnings % ,—,5.23,—
Sales Growth % ,—,-3.44,—
Cash-Flow Growth % ,—,2.89,—
Book-Value Growth % ,—,2.42,—
