,Values
NAV,"11,501.51"
Open Price,"11,825.00"
Bid / Ask / Spread,"11,680.00 / 11,795.00 / 0.98%"
Volume / Avg,"163,527.0 / 139,567.8"
Day Range,"11,620.00 – 11,825.00"
Year Range,"10,700.00 – 15,850.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.660%
Total Assets,42.6 Bil
