Sectors,Fund %,Category %
Basic Materials,—,7.56
Consumer Cyclical,—,10.66
Financial Services,—,21.51
Real Estate,—,10.74
Communication Services,—,2.23
Energy,—,6.83
Industrials,—,8.62
Technology,—,16.02
Consumer Defensive,—,7.47
Healthcare,—,5.85
Utilities,—,2.51
