,Fund,Category,Index
U.S.Stock,0.00,2.24,—
Non-U.S.Stock,0.00,20.22,—
Bonds,0.00,52.33,—
Other,100.00,8.07,—
Cash,0.00,31.90,—
Not Classified,0.00,0.57,—
