,Values
NAV,"107,731.48"
Open Price,"107,720.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,9.0 / 20.9
Day Range,"107,720.00 – 107,720.00"
Year Range,"105,115.00 – 107,840.00"
SEC Yield ,—
12-Month Yield ,1.98%
Premium ,—
Expense Ratio,0.170%
Total Assets,19.4 Bil
