,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,-7.79,23.92
Fund (NAV),—,—,—,—,—,—,—,—,—,-7.67,26.76
+/ Category (NAV),—,—,—,—,—,—,—,—,—,4.12,13.78
+/- Index (Price),—,—,—,—,—,—,—,—,—,-3.13,10.33
Percentile Rank,—,—,—,—,—,—,—,—,—,29,13
# of Funds in Category,—,—,—,—,—,—,—,—,64,72,90
