,Values
NAV,"11,871.45"
Open Price,"11,895.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"29.0 / 3,287.0"
Day Range,"11,895.00 – 11,930.00"
Year Range,"9,400.00 – 12,055.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.850%
Total Assets,11.7 Bil
