,Fund,Cat. Average,Index
Price/Earnings ,—,18.21,17.78
Price/Book ,—,1.92,1.97
Price/Sales ,—,1.53,1.40
Price/Cash Flow ,—,7.80,8.56
Dividend Yield % ,—,3.05,3.15
Long-Term Earnings % ,—,10.12,8.74
Historical Earnings % ,—,3.73,2.91
Sales Growth % ,—,1.34,2.34
Cash-Flow Growth % ,—,3.27,1.04
Book-Value Growth % ,—,6.07,5.09
