,Values
NAV,"11,333.65"
Open Price,"11,120.00"
Bid / Ask / Spread,"0.00 / 12,250.00 / 0.00%"
Volume / Avg,"8,497.0 / 8,606.7"
Day Range,"11,070.00 – 11,145.00"
Year Range,"9,605.00 – 11,970.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.320%
Total Assets,36.3 Bil
