,Fund,Cat. Average,Index
Price/Earnings ,13.81,13.98,14.48
Price/Book ,1.59,1.58,1.62
Price/Sales ,1.18,0.97,1.14
Price/Cash Flow ,8.64,7.26,7.89
Dividend Yield % ,3.91,3.70,3.78
Long-Term Earnings % ,8.65,9.48,8.06
Historical Earnings % ,4.11,1.72,4.72
Sales Growth % ,0.80,-1.25,-0.18
Cash-Flow Growth % ,3.48,4.15,2.20
Book-Value Growth % ,2.75,3.73,2.17
