,Fund,Category,Index
U.S.Stock,1.93,3.47,1.84
Non-U.S.Stock,98.07,84.66,98.00
Bonds,0.00,0.85,0.00
Other,0.00,1.62,0.13
Cash,0.00,45.04,0.03
Not Classified,0.00,0.01,0.01
