,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),1.06,1.06,16.44,8.99,4.37,20.35,—,—,—,—,—
Total Return % (NAV),-2.40,-1.83,14.18,9.54,2.71,21.15,—,—,—,—,-5.38
+/- Category (NAV),—,—,—,—,—,—,—,—,—,—,—
+/- Index (NAV),—,—,—,—,—,—,—,—,—,—,—
