,Net,Short,Long,Cat.,Index
U.S.Stock,0.00,0.00,0.00,4.81,—
Non-U.S.Stock,-203.38,203.38,0.00,5.39,—
Bonds,10.51,0.00,10.51,12.48,—
Other,0.00,0.00,0.00,19.44,—
Cash,292.87,0.55,293.42,78.62,—
Not Classified,0.00,0.00,0.00,0.77,—
