,Values
NAV,"8,506.57"
Open Price,"8,615.00"
Bid / Ask / Spread,"8,690.00 / 8,695.00 / 0.06%"
Volume / Avg,21.7 Mil / 23.6 Mil
Day Range,"8,555.00 – 8,670.00"
Year Range,"6,460.00 – 8,790.00"
SEC Yield ,—
12-Month Yield ,0.00%
Premium ,—
Expense Ratio,0.660%
Total Assets,401.5 Bil
