,Fund,Cat. Average,Index
Price/Earnings ,—,12.75,13.61
Price/Book ,—,1.47,1.46
Price/Sales ,—,1.00,0.81
Price/Cash Flow ,—,4.78,6.25
Dividend Yield % ,—,4.09,4.05
Long-Term Earnings % ,—,10.01,9.80
Historical Earnings % ,—,24.03,17.07
Sales Growth % ,—,9.98,6.69
Cash-Flow Growth % ,—,22.08,12.68
Book-Value Growth % ,—,3.87,4.43
