Sectors,Fund %,Category %
Basic Materials,10.55,8.70
Consumer Cyclical,16.68,13.65
Financial Services,31.99,11.56
Real Estate,0.00,0.29
Communication Services,5.06,2.34
Energy,7.38,1.96
Industrials,12.97,10.46
Technology,5.73,38.20
Consumer Defensive,3.86,6.64
Healthcare,0.00,4.97
Utilities,5.78,1.23
