,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year,Since Inception
Total Return % (Price),0.00,1.49,-5.58,-8.48,-4.92,-7.00,0.59,—,—,—,—
Total Return % (NAV),-0.47,-0.77,-6.06,-7.94,-4.08,-5.89,0.77,—,—,—,3.45
+/- Category (NAV),-0.52,-0.59,0.98,0.02,0.69,7.85,1.81,—,—,—,—
+/- Index (NAV),-0.79,-0.13,-0.10,-3.47,-4.75,4.51,-3.66,—,—,—,—
