,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,10.65,4.91,19.35,-12.18,-4.92
Fund (NAV),—,—,—,—,—,—,10.65,4.60,21.16,-12.56,-4.94
+/ Category (NAV),—,—,—,—,—,—,6.63,3.91,-1.32,4.12,-0.07
+/- Index (Price),—,—,—,—,—,—,13.47,-8.91,-12.88,5.46,-5.41
Percentile Rank,—,—,—,—,—,—,15,32,62,12,59
# of Funds in Category,—,—,—,—,—,"1,796","2,103","2,012","2,058","2,015","2,284"
