,Values
NAV,"8,029.55"
Open Price,"8,030.00"
Bid / Ask / Spread,0.00 / 0.00 / 0.00%
Volume / Avg,"20.0 / 11,531.8"
Day Range,"8,000.00 – 8,030.00"
Year Range,"7,805.00 – 10,410.00"
SEC Yield ,—
12-Month Yield ,1.21%
Premium ,—
Expense Ratio,0.380%
Total Assets,4.0 Bil
