Sectors,Fund %,Category %
Basic Materials,6.42,8.70
Consumer Cyclical,10.56,13.65
Financial Services,10.80,11.56
Real Estate,0.08,0.29
Communication Services,3.71,2.34
Energy,6.29,1.96
Industrials,11.17,10.46
Technology,26.15,38.20
Consumer Defensive,7.11,6.64
Healthcare,17.26,4.97
Utilities,0.45,1.23
