Sectors,Fund %,Category %
Basic Materials,7.61,8.70
Consumer Cyclical,10.34,13.65
Financial Services,11.52,11.56
Real Estate,0.00,0.29
Communication Services,2.77,2.34
Energy,1.88,1.96
Industrials,9.25,10.46
Technology,44.11,38.20
Consumer Defensive,6.37,6.64
Healthcare,4.85,4.97
Utilities,1.29,1.23
