,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),51.85,23.64,-10.94,11.73,1.68,-6.60,0.46,9.97,27.15,-17.26,-2.52
Fund (NAV),51.94,23.49,-10.91,12.04,1.56,-6.41,0.23,10.23,27.06,-17.22,-2.29
+/ Category (NAV),-3.45,0.54,-0.20,5.06,0.46,-1.32,-3.78,9.54,4.58,-0.54,2.58
+/- Index (Price),-8.42,1.42,-2.37,-2.60,-0.85,0.56,3.28,-3.85,-5.09,0.37,-3.02
Percentile Rank,45,41,46,11,42,50,64,5,18,47,17
# of Funds in Category,813,996,"1,539","1,737","1,779","1,796","2,103","2,012","2,058","2,015","2,284"
