,Fund,Cat. Average,Index
Price/Earnings ,9.08,11.02,12.13
Price/Book ,0.89,0.84,0.86
Price/Sales ,0.59,0.53,0.65
Price/Cash Flow ,3.66,3.46,3.66
Dividend Yield % ,3.01,3.08,3.48
Long-Term Earnings % ,13.62,10.07,3.69
Historical Earnings % ,13.61,15.26,14.88
Sales Growth % ,2.36,11.25,4.89
Cash-Flow Growth % ,9.21,16.83,15.05
Book-Value Growth % ,6.36,10.86,8.56
