Sectors,Fund %,Category %
Basic Materials,8.87,8.70
Consumer Cyclical,13.98,13.65
Financial Services,5.88,11.56
Real Estate,0.00,0.29
Communication Services,3.05,2.34
Energy,3.04,1.96
Industrials,10.01,10.46
Technology,36.84,38.20
Consumer Defensive,11.35,6.64
Healthcare,6.04,4.97
Utilities,0.94,1.23
