,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,YTD
Fund (Price),—,—,—,—,—,—,—,—,—,—,-3.77
Fund (NAV),—,—,—,—,—,—,—,—,—,—,-3.34
+/ Category (NAV),—,—,—,—,—,—,—,—,—,—,1.53
+/- Index (Price),—,—,—,—,—,—,—,—,—,—,-4.26
Percentile Rank,—,—,—,—,—,—,—,—,—,—,38
# of Funds in Category,—,—,—,—,—,—,—,—,—,"2,015","2,284"
