,Fund,Cat. Average,Index
Price/Earnings ,10.56,11.02,12.13
Price/Book ,0.98,0.84,0.86
Price/Sales ,0.66,0.53,0.65
Price/Cash Flow ,4.25,3.46,3.66
Dividend Yield % ,2.82,3.08,3.48
Long-Term Earnings % ,14.22,10.07,3.69
Historical Earnings % ,11.92,15.26,14.88
Sales Growth % ,-0.34,11.25,4.89
Cash-Flow Growth % ,6.72,16.83,15.05
Book-Value Growth % ,6.79,10.86,8.56
